file_name,category,subcategory,document_type,version,status,source_path,doc_id,effective_date,form_no,chunk_profile,bank_scope,category_secondary,notes
주택담보대출 상품설명서.pdf,LON,주택담보대출,상품설명서,v1,active,조회_설명서/대출/주택담보대출 상품설명서.pdf,LON-MTG-001,,,TBD,HANA,,미검토
주택담보대출 상품설명서(적격대출용).pdf,LON,주택담보대출,상품설명서,v1,active,조회_설명서/대출/주택담보대출 상품설명서(적격대출용).pdf,LON-MTG-002,,,TBD,HANA,,미검토
내집마련 디딤돌 대출 상품설명서.pdf,LON,주택담보대출,상품설명서,v1,active,조회_설명서/대출/내집마련 디딤돌 대출 상품설명서.pdf,LON-MTG-003,,,TBD,HANA,,미검토
보금자리론 설명서.pdf,LON,주택담보대출,설명서,v1,active,조회_설명서/대출/보금자리론 설명서.pdf,LON-MTG-004,,,TBD,HANA,,미검토
더나은 보금자리론 설명서.pdf,LON,주택담보대출,설명서,v1,active,조회_설명서/대출/더나은 보금자리론 설명서.pdf,LON-MTG-005,,,TBD,HANA,,미검토
대출거래 상품설명서(월상환액 고정형 주택담보대출용).pdf,LON,주택담보대출,상품설명서,v1,active,조회_설명서/대출/대출거래 상품설명서(월상환액 고정형 주택담보대출용).pdf,LON-MTG-006,,,TBD,HANA,,파일명 확인 필요
분양주택잔금대출 상품설명서.pdf,LON,주택담보대출,상품설명서,v1,active,조회_설명서/대출/분양주택잔금대출 상품설명서.pdf,LON-MTG-007,,,TBD,HANA,,미검토
주택도시기금대출(가계용) 상품설명서.pdf,LON,주택도시기금대출,상품설명서,v1,active,조회_설명서/대출/주택도시기금대출(가계용) 상품설명서.pdf,LON-MTG-008,,,TBD,HANA,,미검토
전세자금대출 상품설명서.pdf,LON,전세자금대출,상품설명서,v1,active,조회_설명서/대출/전세자금대출 상품설명서.pdf,LON-JEO-001,,,TBD,HANA,,미검토
가계대출 상품설명서.pdf,LON,가계대출,상품설명서,v1,active,조회_설명서/대출/가계대출 상품설명서.pdf,LON-HHL-001,2025-01,5-06-0618,numbered_section,HANA,,24면 중 12면 중복(은행보관용/고객교부용). 오토론과 본문 90퍼센트 동일
가계대출핵심상품설명서.pdf,LON,가계대출,핵심상품설명서,v1,review,조회_설명서/대출/가계대출핵심상품설명서.pdf,LON-HHL-002,2021-03,5-06-0899,callout_card,HANA,,상호참조 섹션번호 및 예시금액이 현행본과 불일치. 최신본 확보 전까지 review
가계대출 상품설명서(은행대리업용).pdf,LON,가계대출,상품설명서,v1,active,조회_설명서/대출/가계대출 상품설명서(은행대리업용).pdf,LON-HHL-003,2026-07,5-06-1198,numbered_section,KB|SHINHAN|WOORI|HANA,,4개은행 공동본. 타행 예외조항 필터 필요
가계대출 상품설명서 [1Q(원큐) 오토론].pdf,LON,오토론,상품설명서,v1,active,조회_설명서/대출/가계대출 상품설명서 [1Q(원큐) 오토론].pdf,LON-AUT-001,2025-01,3-06-0152,numbered_section,HANA,,24면 중 12면 중복
국군복지단 상생플러스론 상품설명서.pdf,LON,신용대출,상품설명서,v1,active,조회_설명서/대출/국군복지단 상생플러스론 상품설명서.pdf,LON-CRE-001,,,TBD,HANA,,미검토
기업대출상품설명서.pdf,LON,기업대출,상품설명서,v1,active,조회_설명서/대출/기업대출상품설명서.pdf,LON-COR-001,,,TBD,HANA,,미검토
동반성장론 상품설명서.pdf,LON,기업대출,상품설명서,v1,active,조회_설명서/대출/동반성장론 상품설명서.pdf,LON-COR-002,,,TBD,HANA,,미검토
대출 상품설명서(권유용).pdf,LON,공통대출,상품설명서,v1,active,조회_설명서/대출/대출 상품설명서(권유용).pdf,LON-CMN-001,,,TBD,HANA,,미검토
CD수익률설명서(여신거래용).pdf,LON,금리지표,설명서,v1,active,조회_설명서/대출/CD수익률설명서(여신거래용).pdf,LON-CMN-002,2025-03,5-06-1048,roman_article,HANA,,6면 중 3면 중복
(부록)대출상품 용어안내.pdf,LON,공통대출,용어집,v1,active,조회_설명서/대출/대출상품 용어안내.pdf,LON-CMN-GLOSSARY,2025-01,,glossary_row,HANA,,가계대출 3종 부록에서 추출한 공용 문서. 용어 1개당 1청크
주택청약종합저축.pdf,DEP,주택청약,상품설명서,v1,active,조회_설명서/예금/주택청약종합저축.pdf,DEP-SUB-001,2026-06,,labeled_table_row,HANA,,본문 2~6면. 거래조건표 25행 행단위 청킹. SG/세제 청크 오버라이드 필요. 전환신규 행 expiry 2026-09-30
